GEOID,latitude,longitude,MetroName_x,2011_Current$_GDP,2012_Current$_GDP,2013_Current$_GDP,2014_Current$_GDP,2015_Current$_GDP,2016_Current$_GDP,2016_Current$_Rank,2011_Real$09_GDP,2012_Real$09_GDP,2013_Real$09_GDP,2014_Real$09_GDP,2015_Real$09_GDP,2016_Real$09_GDP,2012_RealGDP%_Change,2013_RealGDP%_Change,2014_RealGDP%_Change,2015_RealGDP%_Change,2016_RealGDP%_Change,2016Rank,Natural resources and mining,Construction,Durable-goods manufacturing,Nondurable-goods manufacturing,Trade,Transportation and utilities,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government,2010_Population_Actual,2010_Population_Estimate,2011_Population_Estimate,2012_Population_Estimate,2013_Population_Estimate,2014_Population_Estimate,2015_Population_Estimate,2016_Population_Estimate,ALand_SQMeters,AWater_SQMeters,ALand_SQMiles,AWater_SQMiles,latitude,longitude                                                                                                 
13780,42.163928,-76.022943,"Binghamton, NY","9,008","9,032","9,119","9,098","9,223","9,369",212,"8,874","8,736","8,654","8,464","8,399","8,409",-1.6,-0.9,-2.2,-0.8,0.1,262,-0.03,0.29,0,-0.27,(D),(D),-0.2,0.12,-0.24,0.17,0.08,0.04,-0.02,251725,251469,250404,249219,248498,247462,245879,244094,3171116711,36308390,1224.375,14.019,42.163928,-76.022943
13820,33.462372,-86.814338,"Birmingham-Hoover, AL","54,417","57,608","57,699","58,973","61,063","62,758",51,"52,391","54,517","53,892","53,798","54,719","55,541",4.1,-1.1,-0.2,1.7,1.5,176,0.09,0.02,0.2,0.04,0.08,0.88,0.03,-0.42,(D),0.08,0.01,(D),0.02,1128047,1128937,1130857,1133917,1138578,1141775,1144857,1147417,13675107149,232538326,5279.989,89.784,33.462372,-86.814338
13900,46.726594,-100.996096,"Bismarck, ND","5,641","6,461","6,861","7,643","8,087","7,798",235,"5,310","5,946","6,215","6,804","7,187","6,890",12,4.5,9.5,5.6,-4.1,369,0.5,-0.54,-0.51,-0.06,(D),-0.27,0.05,-2.86,(D),-0.14,(D),0,0.17,114778,115277,117384,120254,124035,126754,129717,131635,13922499393,252946938,5375.507,97.663,46.726594,-100.996096
13980,37.121364,-80.531517,"Blacksburg-Christiansburg-Radford, VA","5,660","6,271","6,335","6,643","7,066","7,063",247,"5,563","5,986","5,926","6,056","6,224","6,096",7.6,-1,2.2,2.8,-2.1,350,0.16,-0.18,-1.75,-0.66,0.14,-0.24,0.05,-0.07,0.09,0.04,-0.06,0.04,0.37,178237,178523,178893,179560,180875,181429,181701,182876,3763221779,46075636,1452.988,17.79,37.121364,-80.531517
14010,40.405593,-88.861307,"Bloomington, IL","10,259","10,753","11,249","11,653","11,214","11,252",187,"9,907","10,179","10,480","10,730","10,150","10,054",2.7,3,2.4,-5.4,-0.9,309,0.19,-0.29,-1.06,-0.26,-0.36,0.11,-0.04,1.04,0.11,-0.12,-0.06,0,-0.21,186133,186445,187336,189057,191162,190086,188933,188644,4094504732,27082489,1580.897,10.457,40.405593,-88.861307
14020,39.241736,-86.671754,"Bloomington, IN","6,412","6,384","6,192","6,397","6,654","6,905",250,"6,248","6,066","5,763","5,822","5,904","6,020",-2.9,-5,1,1.4,2,155,(D),-0.39,1,0.06,0.21,0.15,0.1,-0.23,0.49,0.19,-0.01,0.02,0.2,159549,160140,161712,162673,163110,164466,165066,166336,2019733549,50045972,779.824,19.323,39.241736,-86.671754
14100,41.040404,-76.461654,"Bloomsburg-Berwick, PA","3,334","3,430","3,604","3,599","3,856","3,941",355,"3,256","3,285","3,399","3,337","3,489","3,502",0.9,3.5,-1.8,4.5,0.4,245,0.1,-0.36,-0.11,-1.47,0.13,0.48,-0.02,0.06,0.12,1.68,-0.08,-0.02,-0.11,85562,85671,85289,85342,85463,85366,84944,84763,1588566913,23674272,613.349,9.141,41.040404,-76.461654
14260,43.006648,-116.141909,"Boise City, ID","25,311","26,053","27,715","29,131","30,423","31,690",82,"24,682","24,920","26,060","26,890","27,508","28,180",1,4.6,3.2,2.3,2.4,114,-1.16,0.82,(D),(D),0.85,0.13,0.26,0.4,0.53,0.37,0.16,0.07,-0.19,616561,618025,627610,637527,649653,664024,675777,691423,30472933785,175397532,11765.666,67.721,43.006648,-116.141909
14460,42.517606,-71.021993,"Boston-Cambridge-Newton, MA-NH","339,857","355,585","365,048","381,049","406,002","422,660",9,"332,700","340,681","342,706","350,209","364,136","371,577",2.4,0.6,2.2,4,2,149,(D),(D),(D),(D),0.24,0.1,0.33,0.38,0.72,0.23,0.08,0.04,-0.08,4552402,4565907,4608410,4652011,4696293,4734711,4766755,4794447,9032882339,2654345192,3487.616,1024.848,42.517606,-71.021993
14500,40.09497,-105.397691,"Boulder, CO","19,760","20,668","20,974","22,363","23,212","23,946",107,"19,450","19,983","19,942","20,915","21,333","21,675",2.7,-0.2,4.9,2,1.6,170,-0.1,0.16,-0.28,-0.35,0.46,0.03,0.09,0.6,0.23,0.27,0.18,0.08,0.21,294567,295983,300597,305350,310287,313204,318738,322226,1881212055,36592000,726.34,14.128,40.09497,-105.397691
